code,name,req,score,row
K57102,兰州理工大学第02组,抖,513,K57102 | 兰州理工大学第02组 | 抖 | 不限 | 513 | 207 | 113 | 88 | 56 | 83 | 79
K57103,兰州理工大学第03组,化,527,K57103 | 兰州理工大学第03组 | 化 | 527 | 195 | 105 | 122 | 53 | 82 | 75
K57202,兰州交通大学第02组,化,545,K57202 | 兰州交通大学第02组 | 化 | 545 | 227 | 117 | 108 | 52 | 82 | 76 | 3
K57302,甘肃农业大学第02组,化,484,K57302 | 甘肃农业大学第02组 | 化 | 484 | 199 | 103 | 79 | 46 | 82 | 78 | 3
K51401,甘肃中医药大学第01组,不限,551,K51401 | 甘肃中医药大学第01组 | 不限 | 551 | 213 | 107 | 107 | 71 | 83 | 77 | 17
K57402,甘肃中医药大学第02组,不限,530,K57402 | 甘肃中医药大学第02组 | 不限 | 530 | 226 | 115 | 102 | 50 | 79 | 73 | 8
K57403,甘肃中医药大学第03组,化,504,K57403 | 甘肃中医药大学第03组 | 化 | 504 | 214 | 112 | 78 | 59 | 74 | 69 | 9
K57404,甘肃中医药大学第04组,化,496,K57404 | 甘肃中医药大学第04组 | 化 | 496 | 197 | 100 | 91 | 55 | 79 | 74 | 8
K57405,甘肃中医药大学第05组,化,489,K57405 | 甘肃中医药大学第05组 | 化 | 489 | 206 | 111 | 100 | 38 | 73 | 72 | 11 | 护理类
K57406,甘肃中医药大学第06组,化,480,K57406 | 甘肃中医药大学第06组 | 化 | 480 | 175 | 92 | 101 | 39 | 84 | 81 | 36
K57407,甘肃中医药大学第07组,化,506,K57407 | 甘肃中医药大学第07组 | 化 | 506 | 193 | 103 | 106 | 53 | 80 | 74 | 26
K57504,西北师范大学第04组,不限,525,K57504 | 西北师范大学第04组 | 不限 | 525 | 199 | 104 | 114 | 55 | 79 | 78 | 20
K57505,西北师范大学第05组,化,525,K57505 | 西北师范大学第05组 | 化 | 525 | 211 | 115 | 84 | 57 | 87 | 86 | 2
K57506,西北师范大学第06组,化,496,K57506 | 西北师范大学第06组 | 化 | 496 | 178 | 91 | 118 | 53 | 78 | 69 | 7
K57702,陇东学院第02组,不限,480,K57702 | 陇东学院第02组 | 不限 | 480 | 181 | 97 | 103 | 33 | 87 | 76
K51703,陇东学院第03组,不限,476,K51703 | 陇东学院第03组 | 不限 | 476 | 192 | 97 | 61 | 46 | 89 | 88 | 15
K57704,陇东学院第04组,化,475,K57704 | 陇东学院第04组 | 化 | 475 | 186 | 100 | 110 | 40 | 82 | 57 | 31
K57802,天水师范大学第02组,化,476,K57802 | 天水师范大学第02组 | 化 | 476 | 192 | 100 | 56 | 66 | 85 | 77
K57803,天水师范大学第03组,地,493,K57803 | 天水师范大学第03组 | 地 | 493 | 187 | 109 | 107 | 42 | 87 | 70 | 3
