page,code,name,req,score,语数之和,语数最高,外语,物理,再选最高,再选次高,志愿号,备注,row
38,H06805,杭州电子科技大学信息工程学院第05组,不限,527,196,107,129,45,79,78,3,,H06805 | 杭州电子科技大学信息工程学院第05组 | 不限 | 527 | 196 | 107 | 129 | 45 | 79 | 78 | 3
38,H07101,浙江农林大学暨阳学院第01组,不限,460,172,91,62,75,79,72,24,,H07101 | 浙江农林大学暨阳学院第01组 | 不限 | 460 | 172 | 91 | 62 | 75 | 79 | 72 | 24
38,H07501,湖州学院第01组,不限,513,193,102,109,71,73,67,4,,H07501 | 湖州学院第01组 | 不限 | 513 | 193 | 102 | 109 | 71 | 73 | 67 | 4
39,H07701,温州理工学院第01组,不限,523,188,95,106,68,82,79,5,,H07701 | 温州理工学院第01组 | 不限 | 523 | 188 | 95 | 106 | 68 | 82 | 79 | 5
39,H07702,温州理工学院第02组,不限,506,182,93,106,58,82,78,1,,H07702 | 温州理工学院第02组 | 不限 | 506 | 182 | 93 | 106 | 58 | 82 | 78 | 1
39,H07703,温州理工学院第03组,不限,526,215,110,86,70,86,69,1,,H07703 | 温州理工学院第03组 | 不限 | 526 | 215 | 110 | 86 | 70 | 86 | 69 | 1
39,H07704,温州理工学院第04组,不限,508,198,108,119,45,85,61,15,,H07704 | 温州理工学院第04组 | 不限 | 508 | 198 | 108 | 119 | 45 | 85 | 61 | 15
39,H07705,温州理工学院第05组,不限,508,206,106,92,57,77,76,6,,H07705 | 温州理工学院第05组 | 不限 | 508 | 206 | 106 | 92 | 57 | 77 | 76 | 6
39,H07902,嘉兴南湖学院第02组,不限,522,193,101,97,61,88,83,3,,H07902 | 嘉兴南湖学院第02组 | 不限 | 522 | 193 | 101 | 97 | 61 | 88 | 83 | 3
39,H08402,上海财经大学浙江学院第02组,不限,476,165,110,108,54,83,66,11,,H08402 | 上海财经大学浙江学院第02组 | 不限 | 476 | 165 | 110 | 108 | 54 | 83 | 66 | 11
39,H08503,宁波诺丁汉大学第03组,不限,582,206,108,117,81,95,83,13,,H08503 | 宁波诺丁汉大学第03组 | 不限 | 582 | 206 | 108 | 117 | 81 | 95 | 83 | 13
39,H08504,宁波诺丁汉大学第04组,不限,580,216,112,120,67,室90,87,】3,,H08504 | 宁波诺丁汉大学第04组 | 不限 | 580 | 216 | 112 | 120 | 67 | 室90 | 87 | 】3
39,H08505,宁波诺丁汉大学第05组,不限,579,214,108,117,75,87,86,B4,,H08505 | 宁波诺丁汉大学第05组 | 不限 | 579 | 214 | 108 | 117 | 75 | 87 | 86 | B4
39,H08506,宁波诺丁汉大学第06组,化,579,213,109,123,公78,83,S82,4,,H08506 | 宁波诺丁汉大学第06组 | 化 | 579 | 213 | 109 | 123 | 公78 | 83 | S82 | 4
